Gene,Rank
AL161945.1,4.160924971004285e-07
CXXC1P1,4.1602914426457817e-07
CLEC4F,4.159631772035126e-07
RNU6-290P,4.158969814748225e-07
AC141586.2,4.154775674661272e-07
FP325330.3,4.1545876843127717e-07
AC079799.1,4.1545200537169664e-07
MIR593,4.152085277077375e-07
CLEC4M,4.151964672791194e-07
MIR548AR,4.1513550321007083e-07
CAPZA1P5,4.1495777638096856e-07
FCN3,4.1439891979262363e-07
AC007349.1,4.143493310095778e-07
AC010445.1,4.142986910417806e-07
TRBV17,4.1428328636839817e-07
LINC01939,4.142123426117834e-07
HNRNPA1P33,4.142034677480347e-07
FTCD-AS1,4.1369663819985815e-07
RN7SL440P,4.135636720142943e-07
AC007598.1,4.135340293916338e-07
FTH1P26,4.1345478373690593e-07
AL592402.1,4.132326670139093e-07
RNU6-698P,4.124866021149714e-07
RFPL3,4.12396907896543e-07
RNU6-1322P,4.119705943948701e-07
AC091074.2,4.117737352578565e-07
AC099518.1,4.116790363822686e-07
BNIP3P32,4.115751508707508e-07
AL009178.2,4.114108586141822e-07
MRPL32P1,4.112524677564158e-07
LINC01704,4.1104274508202006e-07
HGC6.3,4.109894622974664e-07
SMIM15P2,4.109666854199524e-07
RNU6-12P,4.109552058310746e-07
MIR139,4.109552058310746e-07
RPL31P12,4.1062592534988655e-07
B3GAT1-DT,4.101828035548068e-07
LAMB4,4.097456488152172e-07
GOLGA6FP,4.0973592269402687e-07
TMSB4XP1,4.0946578204767416e-07
AC093796.1,4.0934160691378506e-07
PPIAP27,4.092687560377429e-07
OPN4,4.089305149749832e-07
CD300LG,4.089149830200018e-07
RNU6-1260P,4.0884117783385336e-07
RN7SL22P,4.0853392414833766e-07
LRRC52-AS1,4.084728727416984e-07
ZNF732,4.0835493968385903e-07
FAM163B,4.082229177449517e-07
TMEM230P1,4.079534703066755e-07
BIN2P2,4.079273305484358e-07
RGS5-AS1,4.078972394548533e-07
TRAJ56,4.0776933918565796e-07
ENTPD2,4.076102400393822e-07
MIR454,4.075321319837102e-07
LINC02194,4.074994405992951e-07
MRPL23-AS1,4.0740683504542614e-07
AC129492.4,4.0729282208742154e-07
RNU1-88P,4.0727425656472343e-07
RPL7AP74,4.071694945401065e-07
RNU6-570P,4.070549952953253e-07
AC068446.2,4.0673359031056737e-07
AC093083.1,4.065465235023499e-07
MIR1293,4.064441712299323e-07
RNF182,4.0637516569056537e-07
RNU5E-9P,4.061351468248254e-07
AC067942.4,4.049343371244338e-07
RNU6-1226P,4.048223307956707e-07
AF123462.1,4.047275282534009e-07
AC002563.1,4.042628661612735e-07
PPIAP9,4.0421688491234065e-07
MIR8058,4.0402541549771014e-07
UQCRHP1,4.034776639842357e-07
AP001269.2,4.0329501055076954e-07
RNU7-110P,4.032218631332933e-07
AC093903.1,4.0292403950146076e-07
AL591719.2,4.0291147154610495e-07
LINC02668,4.024370370127374e-07
VDAC1P13,4.021320487701859e-07
AL391422.2,4.021025141356464e-07
ZNF114-AS1,4.0173973591794553e-07
C1orf226,4.0173551356892934e-07
MIR204,4.009586928129373e-07
OR5B19P,4.009586928129373e-07
OR7E136P,4.009586928129373e-07
AC104445.1,4.009586928129373e-07
AL389889.2,4.009586928129373e-07
TEKT4,4.008527286105964e-07
HBG1,4.0078152149680195e-07
AC016821.1,4.001766409541356e-07
MIR5580,3.999172791342134e-07
LINC03026,3.998987336024642e-07
MIR617,3.998727679962513e-07
OR2L8,3.9950502287364593e-07
EGFLAM-AS3,3.987575756363164e-07
AL161668.2,3.9811508881787097e-07
RMEL3,3.9752903235112017e-07
TRAJ55,3.9744714440838854e-07
ACSM2B,3.9696193355789433e-07
RNU6-153P,3.9688199688172914e-07
KRT8P23,3.9676337600352056e-07
KIF25-AS1,3.9662714603302745e-07
TRAJ50,3.965919165950095e-07
PPIAP32,3.965545070216595e-07
KIF12,3.9652305857389286e-07
RBAKDN,3.965230585738927e-07
USP17L7,3.9647387323963904e-07
TAFA4,3.9641391821537804e-07
POU5F1P6,3.963712005340896e-07
AC097532.2,3.9626008820769023e-07
LINC01447,3.9537801082664954e-07
LY6H,3.9523749203837434e-07
AL137230.1,3.950851649871215e-07
TMCO5A,3.9498511803804416e-07
AP002815.1,3.9486302328887507e-07
LINC02529,3.947384503514008e-07
GAPDHP46,3.947296951498515e-07
ERICH4,3.946420457887768e-07
RNU6-1036P,3.944696852083531e-07
RNA5SP440,3.944601474387881e-07
CAPZA1P4,3.9440188802884116e-07
AC010271.2,3.9435026928846835e-07
RNU4ATAC16P,3.942665566297069e-07
AL133390.1,3.942565884079315e-07
STRA8,3.938146443087732e-07
OR2A15P,3.9341732501703206e-07
ESRP1,3.934128489397829e-07
MIR4287,3.9340913395844214e-07
RIMKLBP1,3.933555249286522e-07
AP006545.3,3.932262331754456e-07
RNU5E-8P,3.9313749398222914e-07
AC104088.3,3.930075729768128e-07
RNU6-758P,3.9299871455090544e-07
AC006459.1,3.9294280788337393e-07
AC125603.1,3.92816346105995e-07
AL590286.2,3.925920540989062e-07
MC3R,3.925476056605597e-07
AC113194.1,3.9249818574951254e-07
FMO7P,3.9243985826878605e-07
AL645465.1,3.9207308857231027e-07
MTCO1P27,3.919259217823783e-07
PCDHA6,3.918810143536924e-07
TMEM249,3.9175963112917665e-07
HEBP2P1,3.9159072653382453e-07
HSP90AA3P,3.9124092227283006e-07
AL158175.1,3.910924970299207e-07
AC012593.1,3.9097054589481776e-07
DNM1P33,3.9065273936457463e-07
RNU6-797P,3.905054118211026e-07
AC004870.2,3.904836933394792e-07
AL159156.1,3.9024709149294176e-07
AC243829.5,3.8990161838134176e-07
MIR4518,3.8940321615641824e-07
RN7SL445P,3.890973870205083e-07
AL807776.1,3.890111550233437e-07
MEIS1-AS3,3.8844650475560695e-07
LINC02197,3.8837988478864055e-07
AP001057.1,3.88222055654237e-07
AC006960.3,3.880558095892017e-07
SDAD1-AS1,3.8794721767428925e-07
TUBAP12,3.879134014411394e-07
MIR561,3.877403529534376e-07
UBE2V1P5,3.8771615946839686e-07
OTP,3.874757072526901e-07
AC104662.1,3.87320670168587e-07
AL390856.1,3.869409282984433e-07
TRAJ43,3.869406967273438e-07
ANKRD63,3.868704421905026e-07
LINC02410,3.8684276377292556e-07
FGF12-AS3,3.868300627898101e-07
AC009434.1,3.8678547057158886e-07
SLC10A5P1,3.8673098868401606e-07
AL512424.1,3.864148141285909e-07
AGTR2,3.8625570682391356e-07
EDDM3DP,3.862501130764378e-07
RN7SL352P,3.8624421581694685e-07
CSTP1,3.8604631568359245e-07
MIR217HG,3.8573756727730194e-07
AC109441.1,3.8554689844365085e-07
SEPHS1P1,3.851067777098016e-07
ACSM1,3.851028595881791e-07
RNU6-901P,3.848927514223869e-07
MUC12-AS1,3.848629670886428e-07
AL445933.2,3.8452727575658897e-07
SNRPCP2,3.844958302882406e-07
AC005753.2,3.8448670183538023e-07
MIR3170,3.843610580674785e-07
CRHBP,3.843228624914803e-07
AC063944.3,3.843112725383021e-07
ATP5MC1P4,3.8426366412411206e-07
PANX3,3.841185714677895e-07
AP001596.2,3.841070954651228e-07
HSD17B13,3.8394135445862464e-07
AP003783.1,3.836187549923764e-07
LINC02556,3.8360791376389844e-07
FAM133GP,3.8355622282968146e-07
LINC01044,3.831916456527324e-07
PRTN3,3.829702487796061e-07
TAS2R43,3.8286967061876774e-07
RPL23AP50,3.826593749368903e-07
RNA5SP296,3.82605987147937e-07
SLC39A12-AS1,3.8233780343450037e-07
CICP10,3.823039090378776e-07
LINC01833,3.8216421230783005e-07
RPS29P31,3.819412657171794e-07
AC022023.2,3.8193948065523346e-07
AC084128.1,3.817845069379932e-07
RNU6-49P,3.817845069379932e-07
MSMB,3.817845069379932e-07
MIR3138,3.8153209882824755e-07
LINC00551,3.809022763228052e-07
ANP32BP2,3.8038532069489074e-07
AL354897.1,3.803629027415281e-07
AC022148.2,3.795364352937308e-07
AC117473.1,3.795045686205342e-07
RNA5SP197,3.7929462140736005e-07
LINC02148,3.790679516645269e-07
AC020908.2,3.7906089012277383e-07
AL683807.2,3.789379386710008e-07
LINC00032,3.7868758890924603e-07
AC084866.2,3.785890145307564e-07
DUX4L34,3.785890145307564e-07
FGF17,3.785082811236668e-07
WWC2-AS1,3.784885851499605e-07
RPL39P6,3.7842745139536253e-07
RN7SL556P,3.782586451157243e-07
AC091053.2,3.7810517982511975e-07
RPS7P6,3.778897676940989e-07
AC004832.1,3.778768192142889e-07
RNU6ATAC30P,3.77577305629189e-07
LRRC37A14P,3.775131662496318e-07
CFAP65,3.773653853381217e-07
TUBB8P6,3.7723057589428417e-07
BAALC-AS2,3.7715597566248727e-07
RNU6-262P,3.7688115788827634e-07
AP001626.1,3.7686120015672197e-07
AC009102.2,3.7685861971537594e-07
RN7SL265P,3.7678396267982487e-07
SULT1A3,3.7655214112590515e-07
SNRPGP1,3.762874635616134e-07
RNU6-550P,3.7614196473668415e-07
BRCA1P1,3.761384046548904e-07
AC015722.2,3.7597854081958014e-07
